Package,License,Windows,Mac OS,Linux,Market focus,GL,AR/AP,DEB,$£€¥,OB,POS,EC,SOCT,PR,ERP,CRM,BI,HRM,"Manf.
/BOM",SCM,IM—,RM,D/WM,MU,"Multi
Co",Tax,Other Features,Structure,Language
Adempiere,GPL,Yes,Yes,Yes,Mid,Yes,Yes,Yes,Yes,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,,,?,Web based,"Java,GlassFish,PostgreSQL"
Apache OFBiz,Apache License,Yes,Yes,Yes,"Small-Sized Enterprises,Mid-Sized Enterprises",Yes,Yes,Yes,Yes,,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,"SaaS, Calendar, Webmail","Multi-User,Web Access,Cloud Hostable",Java
Compiere,"GPL2, other proprietary",Yes,Yes,Yes,Mid,,,,,,Yes,,,,Yes,Yes,,,Yes,,,,Yes,,,,MES,Web based,Java EE
FrontAccounting,GPL3,Yes,Yes,Yes,"Low,Mid",Yes,Yes,Yes,Yes,,Yes,,,,Yes,Yes,,,Yes,Yes,Yes,,,Yes,Yes,,,Web based,PHP
GnuCash,GPL,Yes,Yes,Yes,"Personal-Sized Enterprises,Small-Sized Enterprises",Yes,Yes,Yes,Yes,Yes,,,Yes,,,,,,,,,,,,,ltd,,Stand alone,"C,Scheme"
GNU Enterprise,GPL,Yes,Yes,Yes,"Mid,high end",,,,Yes,,,Yes,,,Yes,Yes,,Yes,,Yes,,,,,,,,"Web based,Stand alone",Python
HomeBank,GPL,Yes,Yes,Yes,Personal,Yes,,No,,,,,,,,,,,,,,,,,,,?,Stand alone,"C, GTK+"
iDempiere,GPL2,Yes,Yes,Yes,Mid,Yes,Yes,Yes,Yes,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,"SaaS, Calendar, Project Management","Web based,Client-server","Java,OSGi,PostgreSQL,Oracle"
JFire,GPL,Yes,No,Yes,"Small,Mid",,,Yes,,,Yes,,,,Yes,Yes,,,,,,,Yes,,,,,"Web based,Stand alone",Java
KMyMoney,GPL,Yes,Yes,Yes,Personal-Sized Enterprises,Yes,,Yes,Yes,Yes,,,Yes,,,,,,,,,,,,,,,Stand alone,C++
LedgerSMB,GPL,Yes,Yes,Yes,Mid,Yes,Yes,Yes,Yes,Yes,Yes,,,,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,"SaaS, Light Manufacturing, Multi-language (40),",Web based,Perl
Openbravo,MPL derivative with badgeware clause,Yes,Yes,Yes,Mid,Yes,Yes,Yes,Yes,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,,Yes,Yes,Yes,"Project Management, Multi-language, Multicurrency, Localized by country","Web based,on-premise,Saas,On Demand",Java
Odoo,AGPL,Yes,Yes,Yes,"Low,Mid",Yes,Yes,Yes,Yes,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,"SaaS, Calendar, Project Management, Webmail","Web based,Client-server",Python
Postbooks,CPAL,Yes,Yes,Yes,"Low,Mid",Yes,Yes,Yes,Yes,,Yes,Yes,,,Yes,Yes,Yes,,Yes,,Yes,,Yes,,,,Professional Services,Client-server,"C++,Qt"
SQL-Ledger,GPL,Yes,Yes,Yes,Mid,Yes,Yes,Yes,Yes,,Yes,,,,Yes,,,,Yes,,Yes,,,Yes,Yes,,,Web based,Perl
Tryton,GPL,Yes,Yes,Yes,"Low,Mid",Yes,Yes,Yes,Yes,Yes,,Yes,,,Yes,Yes,,,Yes,Yes,Yes,,Yes,Yes,Yes,,,"Client-server,Stand alone",Python
TurboCASH,GPL,Yes,Yes,No,"Low,Mid",Yes,Yes,Yes,,,Yes,,,,,,,,Yes,,Yes,,,Yes,Yes,,,Stand alone,Delphi
webERP,GPL,Yes,Yes,Yes,"Low,Mid",Yes,Yes,Yes,Yes,,,,,,Yes,,,,,,,,,,,,,Web based,PHP
